title,source,url,publishedAt
【横浜市立大学】抗ヘルペスウイルス薬が働く仕組みを原子レベルで解明,"{'id': 'd062e6bc8df476300bd722d34bd21d5e', 'name': '河北新報オンライン', 'url': 'https://kahoku.news'}",https://kahoku.news/release/dpr132846.html,2026-04-16T00:00:00Z
経路不明もインドから帰国後発症…20代男性の『はしか』感染が判明 38度以上の発熱続き医療機関で検査,"{'id': '97f1d3a56d5c7e6904b118af89f00b1a', 'name': 'au Webポータル', 'url': 'https://article.auone.jp'}",https://article.auone.jp/detail/1/2/5/499_5_r_20260416_1776291282102820,2026-04-15T22:11:00Z
抗ヘルペスウイルス薬が働く仕組みを原子レベルで解明～実験と計算を組み合わせ、次世代抗ウイルス薬開発への道を開く～,"{'id': 'eea3a71c8706ee11ca2cfeef9ee826d3', 'name': 'qst.go.jp', 'url': 'https://www.qst.go.jp'}",https://www.qst.go.jp/site/press/20260416.html,2026-04-15T15:20:51Z
【闘病】「死んで楽になりたい」発達障害の公務員が『うつ病』で落ちた絶望（メディカルドック）,"{'id': '7d7c09d410a7ed615b930a663c8c40bc', 'name': 'Yahoo!ニュース', 'url': 'https://news.yahoo.co.jp'}",https://news.yahoo.co.jp/articles/56b3ebbc11e755ecc24899811a0881639acf7197,2026-04-15T10:05:45Z
RSウイルスから赤ちゃんを守る 妊婦向けワクチン定期接種が原則無料に,"{'id': '898f9d7ee43ee69e040b77a5f4dfdc86', 'name': 'UMKテレビ宮崎', 'url': 'https://www.umk.co.jp'}",https://www.umk.co.jp/news/?date=20260415&id=32425,2026-04-15T09:20:00Z
"AIが導き出した「長寿のキーワード」：5,800人のデータから老化の分岐点を特定","{'id': '638ddfeefaf074bcadf05d9b5818d3f8', 'name': 'PR TIMES', 'url': 'https://prtimes.jp'}",https://prtimes.jp/main/html/rd/p/000000860.000021495.html,2026-04-15T09:00:01Z
妊婦のRSウイルスワクチン定期接種が開始―副反応は強い？ いつ受けるの？,"{'id': 'd5e298db374fed16aeb350bef9eba2cc', 'name': 'メディカルドック', 'url': 'https://medicaldoc.jp'}",https://medicaldoc.jp/news/news-202603n1038/,2026-04-15T08:00:52Z
「子どものアトピー性皮膚炎が治りにくい」理由をご存じですか？ 症状を長引かせる要因を医師が解説,"{'id': 'd5e298db374fed16aeb350bef9eba2cc', 'name': 'メディカルドック', 'url': 'https://medicaldoc.jp'}",https://medicaldoc.jp/m/column-m/202512p5294/,2026-04-15T06:00:48Z
元オックスフォード大の医学研究者が教える「最高の脳で働き続ける方法」とは？あなたの脳寿命を縮める“悪癖”をとっぱらう1冊！『糖毒脳』 4月15日発売,"{'id': 'a2bf2c6853ba5198f67232adc5795cad', 'name': '時事ドットコム', 'url': 'https://www.jiji.com'}",https://www.jiji.com/jc/article?k=000000495.000045710&g=prt,2026-04-15T02:46:00Z
大正健康ナビ、「突発性難聴」の健康情報を4月15日に新公開～発症から2週間以内の受診が“聞こえ”を守るカギ～,"{'id': '638ddfeefaf074bcadf05d9b5818d3f8', 'name': 'PR TIMES', 'url': 'https://prtimes.jp'}",https://prtimes.jp/main/html/rd/p/000000017.000180826.html,2026-04-15T02:00:02Z
"＜「生理不順のガマン・ロス」実態調査2026＞ ""生理不順の6大ガマン・ロス""が判明！ガマン・ロス度を測定する診断コンテンツも提供開始","{'id': '638ddfeefaf074bcadf05d9b5818d3f8', 'name': 'PR TIMES', 'url': 'https://prtimes.jp'}",https://prtimes.jp/main/html/rd/p/000000053.000096150.html,2026-04-15T01:00:03Z
【5月病予備軍×肌相関調査】4月のストレス蓄積で「肌と心の不調が連動している」と感じた新社会人・転職者は76.3%、「ストレス性皮膚疾患」を医師に相談したことがない人は82.0%,"{'id': '638ddfeefaf074bcadf05d9b5818d3f8', 'name': 'PR TIMES', 'url': 'https://prtimes.jp'}",https://prtimes.jp/main/html/rd/p/000000172.000056499.html,2026-04-15T00:00:01Z
【ただの物忘れ？ それとも…】なるべく早く気づきたい「認知症になりかけている人」のサイン,"{'id': '24cc5fd48aa14c9330dfb3cf014b590e', 'name': 'ライブドアニュース', 'url': 'https://news.livedoor.com'}",https://news.livedoor.com/article/detail/30999685/,2026-04-14T21:35:00Z
知的障害の人が研究に参加することが研究と本人にもたらす変化,"{'id': 'de2ca2522d5df755df6cbbc6a293cd36', 'name': 'たーとるうぃず', 'url': 'https://www.turtlewiz.jp'}",https://www.turtlewiz.jp/archives/52149,2026-04-14T21:31:45Z
「日本人の食事摂取基準」を産科領域の視点で概観 今後の方向性も含めたナラティブレビュー,"{'id': 'a6769ed4a1f609448330aa8d0efd861d', 'name': 'sndj-web.jp', 'url': 'https://sndj-web.jp'}",https://sndj-web.jp/news/003891.php,2026-04-14T15:05:20Z
毎日ピーナッツバターを食べたシニアの歩行機能が改善。1日大さじ3杯で「転倒リスク」に変化【海外研究】（ウィメンズヘルス）,"{'id': '7d7c09d410a7ed615b930a663c8c40bc', 'name': 'Yahoo!ニュース', 'url': 'https://news.yahoo.co.jp'}",https://news.yahoo.co.jp/articles/de303532f87240e04def0f55aea112af83d4eee5,2026-04-14T14:00:02Z
夜間に現れる兆候は、腎臓に問題があることを警告しています,"{'id': 'd7d7a490cd816637ad5008f0ca1f5422', 'name': 'Laodong.vn', 'url': 'https://ja.laodong.vn'}",https://ja.laodong.vn/dinh-duong-am-thuc/dau-hieu-xuat-hien-ban-dem-canh-bao-than-dang-gap-van-de-1685005.ldo,2026-04-14T13:00:00Z
脳が老ける原因がわかって、しかも「止める」方法も見えてきた（ギズモード・ジャパン）,"{'id': '7d7c09d410a7ed615b930a663c8c40bc', 'name': 'Yahoo!ニュース', 'url': 'https://news.yahoo.co.jp'}",https://news.yahoo.co.jp/articles/9dfa42bf3b62c81f8ff8b60aaae0d75b61b8c52c,2026-04-14T12:30:01Z
脳が老ける原因がわかって、しかも「止める」方法も見えてきた|au Webポータル,"{'id': '97f1d3a56d5c7e6904b118af89f00b1a', 'name': 'au Webポータル', 'url': 'https://article.auone.jp'}",https://article.auone.jp/detail/1/3/7/32_7_r_20260414_1776170032013035,2026-04-14T12:00:00Z
脳が老ける原因がわかって、しかも｢止める｣方法も見えてきた,"{'id': '0c5579607fab51c20e563ea3b2f58bab', 'name': 'ギズモード・ジャパン', 'url': 'https://www.gizmodo.jp'}",https://www.gizmodo.jp/2026/04/brain-aging.html,2026-04-14T12:00:00Z
｢6時間寝ているからOK｣は大間違い…専門医が最新論文で解き明かす｢本当に健康にいい睡眠時間｣の新常識,"{'id': '24cc5fd48aa14c9330dfb3cf014b590e', 'name': 'ライブドアニュース', 'url': 'https://news.livedoor.com'}",https://news.livedoor.com/article/detail/30995914/,2026-04-14T09:15:00Z
「6時間寝ているからOK」は大間違い…専門医が最新論文で解き明かす「本当に健康にいい睡眠時間」の新常識(プレジデントオンライン),"{'id': 'a2c087f9aacb4f3153724146798b17c6', 'name': 'Yahoo!ファイナンス', 'url': 'https://finance.yahoo.co.jp'}",https://finance.yahoo.co.jp/news/detail/e2b0d82233a8d05babb5c3f8d4455726bd597716,2026-04-14T09:15:00Z
｢6時間寝ているからOK｣は大間違い…専門医が最新論文で解き明かす｢本当に健康にいい睡眠時間｣の新常識（プレジデントオンライン）｜ｄメニューニュース,"{'id': '5618c7c5e7276baddc4cc4d2dd6b963d', 'name': 'ｄメニューニュース', 'url': 'https://topics.smt.docomo.ne.jp'}",https://topics.smt.docomo.ne.jp/article/president/bizskills/president_111476?redirect=1,2026-04-14T09:15:00Z
安達結希さんらしき遺体 司法解剖のポイントを識者解説「亡くなるまでの時間が分かる」,"{'id': '97f1d3a56d5c7e6904b118af89f00b1a', 'name': 'au Webポータル', 'url': 'https://article.auone.jp'}",https://article.auone.jp/detail/1/2/2/477_2_r_20260414_1776151507597904,2026-04-14T07:22:00Z
健康診断も人間ドックも通過して静かに進む病…専門医が｢透析になりたくなければ受けて｣という検査2種,"{'id': '24cc5fd48aa14c9330dfb3cf014b590e', 'name': 'ライブドアニュース', 'url': 'https://news.livedoor.com'}",https://news.livedoor.com/article/detail/30994642/,2026-04-14T07:15:00Z
健康診断も人間ドックも通過して静かに進む病…専門医が「透析になりたくなければ受けて」という検査2種(プレジデントオンライン),"{'id': 'a2c087f9aacb4f3153724146798b17c6', 'name': 'Yahoo!ファイナンス', 'url': 'https://finance.yahoo.co.jp'}",https://finance.yahoo.co.jp/news/detail/717b9d6e1b124ad86c611186a251612c15d0773c,2026-04-14T07:15:00Z
「何歳から肥満になったか」で死亡リスクは大きく異なる,"{'id': 'a2afa7dbf7208429171070d85c38d1ae', 'name': 'ナゾロジー', 'url': 'https://nazology.kusuguru.co.jp'}",https://nazology.kusuguru.co.jp/archives/194053,2026-04-14T02:32:43Z
安達結希さんらしき遺体発見の舞台裏 元県警刑事「第三者の立ち回り先を捜査した可能性」,"{'id': '97f1d3a56d5c7e6904b118af89f00b1a', 'name': 'au Webポータル', 'url': 'https://article.auone.jp'}",https://article.auone.jp/detail/1/2/2/477_2_r_20260414_1776128969390629,2026-04-14T01:07:00Z
夜勤は2型糖尿病の管理を難しくする,"{'id': '4f2824b7b3d73f5b87129a0bab086cc7', 'name': 'dm-net.co.jp', 'url': 'https://dm-net.co.jp'}",https://dm-net.co.jp/calendar/2026/041928.php,2026-04-14T00:26:09Z
湿疹治療を続けていたら「左足の一部が壊死」 働き盛りを襲った難病、激痛で寝たきりに…再就職までの道のり,"{'id': '97f1d3a56d5c7e6904b118af89f00b1a', 'name': 'au Webポータル', 'url': 'https://article.auone.jp'}",https://article.auone.jp/detail/1/5/9/360_9_r_20260414_1776126087192274,2026-04-14T00:18:00Z
脳はアルコールが好き？ 専門家に聞いた「なぜ、こんなにもお酒は我々を虜にするのか？」,"{'id': 'ddcb958f8ebd8fd6461b180f7b28af1d', 'name': 'GoodsPress Web', 'url': 'https://www.goodspress.jp'}",https://www.goodspress.jp/columns/727816/,2026-04-13T11:00:00Z
《腟から全身を温める》桐谷美玲、大沢あかねもハマる「よもぎ蒸し」 冷え症や低体温の改善、首や肩こりの解消にも,"{'id': 'd12d6aa7a9dd3acbded8dbe106bd7b73', 'name': '女性セブンプラス', 'url': 'https://j7p.jp'}",https://j7p.jp/166671,2026-04-13T07:00:00Z
実際に人が利用する室内環境における次亜塩素酸を用いた付着ウイルスの不活化効果に関する論文が、学術誌「Microorganisms」に掲載：時事ドットコム,"{'id': 'a2bf2c6853ba5198f67232adc5795cad', 'name': '時事ドットコム', 'url': 'https://www.jiji.com'}",https://www.jiji.com/jc/article?k=000006690.000003442&g=prt,2026-04-13T04:16:00Z
実際に人が利用する室内環境における次亜塩素酸を用いた付着ウイルスの不活化効果に関する論文が、学術誌「Microorganisms」に掲載,"{'id': '638ddfeefaf074bcadf05d9b5818d3f8', 'name': 'PR TIMES', 'url': 'https://prtimes.jp'}",https://prtimes.jp/main/html/rd/p/000006690.000003442.html,2026-04-13T04:00:01Z
【大腸がん検診】便潜血検査の採便を「1回」に変更へ。負担軽減で受診者の増加狙う：厚労省が発表,"{'id': 'd5e298db374fed16aeb350bef9eba2cc', 'name': 'メディカルドック', 'url': 'https://medicaldoc.jp'}",https://medicaldoc.jp/news/news-202603n1037/,2026-04-13T03:04:54Z
「おたふく風邪ワクチン」の副反応はご存知ですか？接種費用も解説！【医師監修】,"{'id': 'd5e298db374fed16aeb350bef9eba2cc', 'name': 'メディカルドック', 'url': 'https://medicaldoc.jp'}",https://medicaldoc.jp/m/qa-m/qa1732/,2026-04-13T03:04:54Z
フライドポテトがヘルシーに？ 食感を保ちつつ油を減らす方法を研究者ら報告,"{'id': '3ba285105cf10dca9f15c3e14ae3ed7c', 'name': 'WIRED.jp', 'url': 'https://wired.jp'}",https://wired.jp/article/scientists-have-made-french-fry-breakthrough/,2026-04-13T02:00:00Z
【小児科医監修】中川翔子さん、つるの剛士さんと語る 新生活がスタートしたママ・パパへ知ってほしい感染症のコト,"{'id': '1a7c676d1403f5e470b65c95390f911e', 'name': 'たまひよ', 'url': 'https://st.benesse.ne.jp'}",https://st.benesse.ne.jp/ikuji/content/?id=217484,2026-04-13T00:00:09Z
Science誌掲載｜脳は「見る」と「想像する」に同じニューロンを使っていた,"{'id': 'ff468c45dabf22c9fcb4de48a9c516f5', 'name': 'innovaTopia', 'url': 'https://innovatopia.jp'}",https://innovatopia.jp/neurotrechnology/neurotrechnology-news/95151/,2026-04-12T22:57:57Z
認知症の予防で「健康食品」を買っている人が知ったら“がっかりする事実”とは？,"{'id': '24cc5fd48aa14c9330dfb3cf014b590e', 'name': 'ライブドアニュース', 'url': 'https://news.livedoor.com'}",https://news.livedoor.com/article/detail/30980563/,2026-04-12T21:55:00Z
白髪が黒髪に戻る!? 最新研究が明かした衝撃の事実。「ストレスを減らせば白髪は改善する」は本当だった？,"{'id': '821424c4e5310ff2bae7ebc5077bed3e', 'name': 'womenshealthmag.com', 'url': 'https://www.womenshealthmag.com'}",https://www.womenshealthmag.com/jp/beauty/a70982140/study-gray-hair-reversible-20260412/,2026-04-12T10:03:57Z
尿検査で『腎機能低下』？ 尿タンパクや尿潜血の理由と受診の目安【医師監修】,"{'id': 'd5e298db374fed16aeb350bef9eba2cc', 'name': 'メディカルドック', 'url': 'https://medicaldoc.jp'}",https://medicaldoc.jp/m/column-m/202602p5516/,2026-04-12T02:04:40Z
寝室でスマホより「睡眠専用デバイス」を!? “ソルフェジオ周波数”って知ってる!? 音とアロマで睡眠ウェルネスを実現する方法とは,"{'id': '2aac4188d6c4df23d308071bf59f46ac', 'name': 'VAGUE(ヴァーグ)', 'url': 'https://vague.style'}",https://vague.style/post/416069,2026-04-12T00:12:28Z
高齢者のワクチン「定期接種」 発症や重症化、後遺症防ぐ,"{'id': '2f0fae8738fbe54d470a3422d8f1dacf', 'name': '読売新聞オンライン', 'url': 'https://www.yomiuri.co.jp'}",https://www.yomiuri.co.jp/yomidr/article/20260330-GYT8T00069/,2026-04-11T20:00:35Z
「スマホを見ない」だけでは足りない…脳内科医「就寝1時間前に立ち寄ってはいけない,"{'id': 'a2c087f9aacb4f3153724146798b17c6', 'name': 'Yahoo!ファイナンス', 'url': 'https://finance.yahoo.co.jp'}",https://finance.yahoo.co.jp/news/detail/d4f4444e26afdd5babf08033563af2b31b64c921,2026-04-11T07:15:00Z
新しい研究が高血圧を引き起こす神経学的原因を明らかにする,"{'id': 'd7d7a490cd816637ad5008f0ca1f5422', 'name': 'Laodong.vn', 'url': 'https://ja.laodong.vn'}",https://ja.laodong.vn/suc-khoe/nghien-cuu-moi-he-lo-nguyen-nhan-than-kinh-gay-tang-huyet-ap-1683104.ldo,2026-04-11T02:00:00Z
ストレスや悲しみを感じると「がんのリスク」が増えるって本当？｜@DIME アットダイム,"{'id': 'b421935c92debec6872f2ab5a263d89a', 'name': '@DIME アットダイム', 'url': 'https://dime.jp'}",https://dime.jp/genre/2102198/,2026-04-10T23:05:03Z
毎朝のフルーツが手軽に。キウイの果実感が楽しめるキッコーマンの「デルモンテ ピュレフルーツ」シリーズの新作を試してみた,"{'id': 'f63858ae4467350c7c2d8bca3c3db925', 'name': 'マイナビウーマン', 'url': 'https://woman.mynavi.jp'}",https://woman.mynavi.jp/article/260408-4_1190537/,2026-04-10T23:03:55Z
【闘病】ただの運動不足が一転… 43歳看護師を突き落とした『難病』という地獄,"{'id': 'd5e298db374fed16aeb350bef9eba2cc', 'name': 'メディカルドック', 'url': 'https://medicaldoc.jp'}",https://medicaldoc.jp/m/experiences/neurology-experiences/202603e0526/,2026-04-10T10:01:13Z
"80歳を過ぎても50代の認知機能を維持…衰え知らずの「スーパーエイジャー」になれる人の""シンプルな日課""（プレジデントオンライン）","{'id': '7d7c09d410a7ed615b930a663c8c40bc', 'name': 'Yahoo!ニュース', 'url': 'https://news.yahoo.co.jp'}",https://news.yahoo.co.jp/articles/5a05ab52851d97e2f3cf0b4d0083f174d35c3627,2026-04-10T07:15:44Z
80歳を過ぎても50代の認知機能を維持…衰え知らずの「スーパーエイジャー」になれる人の,"{'id': 'a2c087f9aacb4f3153724146798b17c6', 'name': 'Yahoo!ファイナンス', 'url': 'https://finance.yahoo.co.jp'}",https://finance.yahoo.co.jp/news/detail/5a05ab52851d97e2f3cf0b4d0083f174d35c3627,2026-04-10T07:15:00Z
「1時間座ると寿命が22分縮む？」長時間座っているだけで高まる肥満・糖尿病・心血管疾患リスク 運動習慣があれば大丈夫？【専門医が解説】,"{'id': '5618c7c5e7276baddc4cc4d2dd6b963d', 'name': 'ｄメニューニュース', 'url': 'https://topics.smt.docomo.ne.jp'}",https://topics.smt.docomo.ne.jp/article/maidonanews/trend/maidonanews-16439406?redirect=1,2026-04-10T07:02:00Z
"80歳を過ぎても50代の認知機能を維持…衰え知らずの｢スーパーエイジャー｣になれる人の""シンプルな日課""","{'id': '76515aa455a6136fd124da3c363fef15', 'name': 'PRESIDENT Online（プレジデントオンライン）', 'url': 'https://president.jp'}",https://president.jp/articles/-/111374?page=1,2026-04-10T07:00:00Z
放射光施設を活用した新たな素粒子探索法の提案と実証,"{'id': '2ed3c93c9ae81d8641b276f55d44a65d', 'name': '共同通信PRワイヤー', 'url': 'https://kyodonewsprwire.jp'}",https://kyodonewsprwire.jp/release/202604107210,2026-04-10T05:00:00Z
５人に１人の国民病『腎臓 人工透析にさせない最強の医療・食べ方――『血糖値』『高血圧』本当に怖いのはここだ！ 』著者牧田善二が電子書籍で配信開始,"{'id': 'd78f49f2c457ff9325639c3df1db0e2a', 'name': 'cozre[コズレ]', 'url': 'https://feature.cozre.jp'}",https://feature.cozre.jp/83511,2026-04-10T04:30:50Z
ノロウイルスはなぜ流行を繰り返すのか？ 「遺伝子変異の実態」が明らかに,"{'id': 'd5e298db374fed16aeb350bef9eba2cc', 'name': 'メディカルドック', 'url': 'https://medicaldoc.jp'}",https://medicaldoc.jp/news/news-202603n1036/,2026-04-10T03:05:29Z
高齢男性の更年期障害におけるテストステロン補充療法に警鐘 心血管イベントを増加させる可能性 世界初 一酸化窒素産生障害の関与を解明,"{'id': '2f3380aaad188803a1e245a04101b8d4', 'name': 'u-ryukyu.ac.jp', 'url': 'https://www.u-ryukyu.ac.jp'}",https://www.u-ryukyu.ac.jp/news/77395/,2026-04-10T02:00:52Z
新年度は脱・座りっぱなし！仕事の合間にできる簡単健康ハック15,"{'id': '821424c4e5310ff2bae7ebc5077bed3e', 'name': 'womenshealthmag.com', 'url': 'https://www.womenshealthmag.com'}",https://www.womenshealthmag.com/jp/fitness/a70881425/deskwork-movement-hacks-2604-hns/,2026-04-10T01:41:12Z
チルゼパチド、デュラグルチドと比較し心血管疾患合併2型糖尿病の心腎複合リスクを有意に低下 SURPASS-CVOT事後解析,"{'id': '61dee31d2cf202baa2d31a49787218c9', 'name': '糖尿病リソースガイド', 'url': 'https://dm-rg.net'}",https://dm-rg.net/news/8afb8ebb-ef87-4b97-bacc-16e203fd3120,2026-04-10T00:46:37Z
透析が必要になって後悔ではなく今日からできる「頑張りすぎない」5つのステップ 「崖っぷちからの生還」目指す必要はない,"{'id': 'a2c087f9aacb4f3153724146798b17c6', 'name': 'Yahoo!ファイナンス', 'url': 'https://finance.yahoo.co.jp'}",https://finance.yahoo.co.jp/news/detail/dccf591b284c5cf559a0d6631315c62e09ab1ffa,2026-04-09T23:02:15Z
はしかに感染…男性が陽性判明前、東武スカイツリーラインで乗車 京成電鉄など利用 せきや発熱の男性、発疹が出て医療機関を受診,"{'id': '97f1d3a56d5c7e6904b118af89f00b1a', 'name': 'au Webポータル', 'url': 'https://article.auone.jp'}",https://article.auone.jp/detail/1/2/5/474_5_r_20260410_1775775479313299,2026-04-09T22:51:00Z
ADHDの症状は3つでなく「9つのカテゴリー」に分けられる,"{'id': 'a2afa7dbf7208429171070d85c38d1ae', 'name': 'ナゾロジー', 'url': 'https://nazology.kusuguru.co.jp'}",https://nazology.kusuguru.co.jp/archives/193853,2026-04-09T21:32:39Z
感染力はインフルエンザの約10倍!? 宮崎市で7年ぶりの｢はしか｣感染を確認 驚異の感染力から身を守るために今できること,"{'id': '5618c7c5e7276baddc4cc4d2dd6b963d', 'name': 'ｄメニューニュース', 'url': 'https://topics.smt.docomo.ne.jp'}",https://topics.smt.docomo.ne.jp/article/fnn/life/fnn-1027945?redirect=1,2026-04-09T20:06:39Z
超早産児へ「24時間以内に母乳を」～新栄養強化剤に期待感～｜トピックス｜時事メディカル｜時事通信の医療ニュースサイト,"{'id': '552f84fe58b8a4d0773643e4818f88b1', 'name': '時事メディカル', 'url': 'https://medical.jiji.com'}",https://medical.jiji.com/topics/4261,2026-04-09T20:01:00Z
左心耳閉鎖術、薬物治療に対する非劣性示せず 他：日経メディカル,"{'id': '2b75e24af282938e7e8d26ffd6d18d9b', 'name': '日経メディカル', 'url': 'https://medical.nikkeibp.co.jp'}",https://medical.nikkeibp.co.jp/leaf/all/hotnews/podcastpaper/202604/592666.html,2026-04-09T14:45:06Z
組織常在性T細胞が“炎症記憶”を保持し全身へ波及 ～全身に連鎖するアレルギー疾患の新たな治療法開発に光～,"{'id': 'a2bf2c6853ba5198f67232adc5795cad', 'name': '時事ドットコム', 'url': 'https://www.jiji.com'}",https://www.jiji.com/jc/article?k=000001156.000015177&g=prt,2026-04-09T13:40:00Z
米沢商工会議所会員向け「大腸がん啓発月間連動・がんセミナー」を開催：時事ドットコム,"{'id': 'a2bf2c6853ba5198f67232adc5795cad', 'name': '時事ドットコム', 'url': 'https://www.jiji.com'}",https://www.jiji.com/jc/article?k=000000040.000085491&g=prt,2026-04-09T13:10:00Z
【闘病】「一生治らない」女子高生を襲う『全身性エリテマトーデス』死を考える孤独（メディカルドック）,"{'id': '7d7c09d410a7ed615b930a663c8c40bc', 'name': 'Yahoo!ニュース', 'url': 'https://news.yahoo.co.jp'}",https://news.yahoo.co.jp/articles/363f518fbf99382b6d72662dee8130fcbffd7077,2026-04-09T10:04:25Z
「ただの生理不順」と放置しないで。医師が教える子宮体がんの初期症状と、30代・40代から気をつけるべき“不正出血”の正体,"{'id': '821424c4e5310ff2bae7ebc5077bed3e', 'name': 'womenshealthmag.com', 'url': 'https://www.womenshealthmag.com'}",https://www.womenshealthmag.com/jp/wellness/a70947077/signs-of-endometrial-cancer-20250409/,2026-04-09T10:02:28Z
「血液型で感染リスクがこんなに違う」世界大規模調査が証明、O型に比べて免疫学的にリスクが高い血液型とは（プレジデントオンライン）,"{'id': '7d7c09d410a7ed615b930a663c8c40bc', 'name': 'Yahoo!ニュース', 'url': 'https://news.yahoo.co.jp'}",https://news.yahoo.co.jp/articles/06a49feb7b533a8483f5e1ba11322986ddc46c6e,2026-04-09T09:50:32Z
｢血液型で感染リスクがこんなに違う｣世界大規模調査が証明､O型に比べて免疫学的にリスクが高い血液型とは,"{'id': '24cc5fd48aa14c9330dfb3cf014b590e', 'name': 'ライブドアニュース', 'url': 'https://news.livedoor.com'}",https://news.livedoor.com/article/detail/30952180/,2026-04-09T07:15:00Z
「血液型で感染リスクがこんなに違う」世界大規模調査が証明、O型に比べて免疫学的にリスクが高い血液型とは(プレジデントオンライン),"{'id': 'a2c087f9aacb4f3153724146798b17c6', 'name': 'Yahoo!ファイナンス', 'url': 'https://finance.yahoo.co.jp'}",https://finance.yahoo.co.jp/news/detail/06a49feb7b533a8483f5e1ba11322986ddc46c6e,2026-04-09T07:15:00Z
遺伝子発現の「ノイズ」を変えるゲノム多型,"{'id': '59d1f937977f22652dfcb3629dfef247', 'name': 'riken.jp', 'url': 'https://www.riken.jp'}",https://www.riken.jp/press/2026/20260409_2/index.html,2026-04-09T05:03:37Z
「がんはなぜ治療が難しいのか」 腫瘍内科医に聞く、進化する薬物療法と仕事・生活を守る視点,"{'id': '7d7c09d410a7ed615b930a663c8c40bc', 'name': 'Yahoo!ニュース', 'url': 'https://news.yahoo.co.jp'}",https://news.yahoo.co.jp/articles/6d73c50ff90677321457df6752a68b2ff3040d3b,2026-04-09T02:50:30Z
ダクラク省の学校で、おたふく風邪の疑いのある生徒が増加,"{'id': 'd7d7a490cd816637ad5008f0ca1f5422', 'name': 'Laodong.vn', 'url': 'https://ja.laodong.vn'}",https://ja.laodong.vn/suc-khoe/them-truong-hoc-o-dak-lak-co-nhieu-hoc-sinh-nghi-mac-quai-bi-1682411.ldo,2026-04-09T02:48:09Z
米沢商工会議所会員向け「大腸がん啓発月間連動・がんセミナー」を開催,"{'id': '638ddfeefaf074bcadf05d9b5818d3f8', 'name': 'PR TIMES', 'url': 'https://prtimes.jp'}",https://prtimes.jp/main/html/rd/p/000000040.000085491.html,2026-04-09T01:00:02Z
